ISN;Nom;Année;Titre;support
74;WERTANI Lobna;2019;Autoédication chez les animaux de compagnie : enquète descriptive auprès des propriétaires de chiens et de chats;Non
75;MAHJOUB Wassim;2019;prévalence et antiiorésistance des entérobactériers dans les mammites bovines clinique du gouvernorat de mahdia;Non
76;BEN KHALIFA Hela;2017;imagerie médicale en dentisterie équine;Non
77;BEN KHEDHER Rim;2018;etude de la prévalance et de l'antibiorésistance des souches d'escherichia coli isolées de fèces de bovins prélevés à l'abattoir;Non
78;BEN MABROUK Brahim ;2018;reperes anatomiques et geste techniques chez les oiseaux;Non
79;LANDOULSI Marwa;2018;dynamique saisonniere et distribution spatiale des especes d'anaplasma infectant les petits ruminants du nord de la tunisie;Non
80;MAAZAOUI Ala;2018;prévalaence et antibiorésistance de souches d'escherichia coli isolées de fèces de chiens atteints de troubles digestifs en tunisie;Non
81;BOUALLEGUE Seifeddine;2018;etude de la prévalence et de l'antibiorésistance des souches d'escherichia coli et recherche de souches productrices de béta-lactamases à spectre étendu isoées dans les matiéres fécales de chiens sains;Non
82;JAMEL SAIDI;2018;influence d'une injection d'un complexe à base de minéraux et oligoelements une semaine après le velage sur la délivrance placentaire chez la vache laitière ) l'OTP EL ALAM;pdf
83;Nour el imen Somaa;2018;Essai vaccinal préliminaire d'une souche;pdf
84;Rahma saddem;2018;contribution à l'étude de l'infestation des ovins par l'haemonchose au nord et nord ouest de la Tuniise;pdf
85;Ahmed souissi;2018;prévalence et antibiorésistance des staphylocoques à coagualase positive isolés des muqueuses nasales et rectales du dromadaire en Tunisie;NON
86;Mohamed Saidi;2018;Etude de la prévalence et de l'antibiorésistance d'Eschérichia coli isolés de matière fécales d'agnaux atteints de diarrhée néonatale et recherche des souches productrices de BLSE;NON
87;Mohamed Labidi;2018;Considération sur l'hydatidose animale et humaine;NON
88;Ahed amine HELAOUI;2018;Surveillance sanitaire d'un élevage de la daurade en cage;NON
89;Khalil Hamdène;2018;"Enquete séro-épidémiologique sur la fiévre ""Q"" chez le dromadaire dans le sud de la Tunisie";pdf
90;Cyrine ben mahmoud;2018;Apport de la biologie moléculaire en oncologie humaine et canine;pdf
91;Brahim Amine;2018;Effet de l'incorporation des extraits de feilles d'olivier dans l'eau de boisson du poulet de chair;pdf
92;Abir Tissaoui;2018;Étude de la résistance aux antibiotiques non bêtalactamines de souche d'Eschérichia coli isolées de poulets de chair dans la région d'élevage  du sahel tunisie;pdf
93;Hadhemi GHODHBANE;2018;Etude de la résistance aux bêta lactamines de souches d'Escherichia coli isolées de poulets de chair et recherche de bêta lactamases à spectre étendu dans des élevages de la région du sahel;pdf
94;Olfa kilani;2018;Les troubles de comportement chez le chien (Etude bibliographique);NON
95;Nourane Chetouane;2018;contribution à l'étude de l'echocardiographie chez le chien: application au diagnostic, au pronostic et au suivi thérapeuthique;pdf
96;Yassine MZAH;2018;Etude des efftes d'un protocole de synchonisation des chaleurs à base de progesterone (PRID@DELTA) sur les performances de la reproduction des vaches laitières en anoeustrus dans la région de Joumine;pdf
97;Nahla Kouki;2018;Le syndrôme anémique chez les petits ruminats (Etrude retrospective sur 7 ans de 2010 à 2017);pdf
98;Khouloud Klahchi;2018;Etude anatomique et histologique du pancréas du dromaidaire 5camelis dromedarius);pdf
99;Hela rokbani;2018;Comportement et bien être du chien guide pour déficients visuels: réflexion autour de son introdction en Tunisie;pdf
100;Meriem Lazreg;2018;Contribution à l'étude du collapsus trachéal chez le chien et en médecine comparée;NON
101;AJABI Rayhane;2020;Etude comparée de deux protocoles à base de progestérone dans le traitement de l'anoestrus post-partum chez la vache laitière  ;PDF
102;KTATA Nabil;2020;Antiseptique & désinfectants en médecine vétérinaire;PDF
103;INOUAYEL Sondes;2020;Les diarrhées néo-natales chez l'agneau et le cheveau : Etude rétrospective sur dix ans (2008-2018);PDF
104;BEN ABDELLATIF sinda;2020;Séroprévalence de la fièvre Q chez les ovins dans différentes régions de la Tunisie;PDF
105;BOUKADI Mouna;2020;L'immunothérapie anti-cancereuse chez l'homme : ou on en est chez les carnivores domestiques?;PDF
106;SDOUGA Nadia;2020;Les atteintes cardiaques: Etude comparative entre l'homme et les animaux domestiques;PDF
107;RABII Youssef;2020;Le portage cutaneo-muqueux de staphylocoques chez des chiens atteints de dermatite ou d'otite: identification moléculaire des especes a coagulasse positive et étude phénotypique et moléculaire de leur résistance aux antibiotiques;PDF
108;EL GHARRES Anas;2020;Contribution a l'étude anatomopathologique des mélanomes cutanés chez le chien : Etude rétrospective;PDF
109;HMIMIDA Maher ;2020;Contribution à l'étude des principales zoonoses virales émergentes transmises par les chiroptères et du système de veille sanitaire en Tunisie;PDF
110;OUNI Wissal;2020;Maladies du loup marin (Dicentra chus labrax) et la daurade royale (Sparus aurata): synthèse bibliographique;Non
111;TLILI Khouloud;2020;Les affections médicales liées à l'effort chez le cheval de sport, étude bibliographique;PDF
112;HEDHLI Awatef;2020;Etude de prévalence et de l'antibiorésistance des souches d'Escherichia coli isolées de la muqueuse rectale de chats apparemment sains ou malades et recherche de souches productrices de beta-lactamases à spectre étendu;PDF
113;DABBABI Oumaima;2020;Contribution à l'étude anatomopathologique de la hernie diaphragmatique chez le chat : Etude rétrospective (2009-2019 à L'ENMV);PDF
114;BOTANE Sleheddine;2020;Contribution à l'étude lésionnelle de la sarcosporidiose dans les muscles de la tête chez le dromadaire;PDF
115;BEN SOUISSI Rami;2020;Contribution à l'étude biométrique du chinchard commun ( Trachurus trachurus) et son infestation par les Anisakidés;PDF
116;BALLOUM Syrine;2020;Contribution à l'étude de l'infestation de dix espaces de poissons benthiques par les anisakides;PDF
117;BEN MABROUK Mariem;2020;Enquête rétrospective des affections respiratoires infectieuses des carnivores domestiques et des équidés venus en consultation à l'ENMV etre  2016 et 2018;PDF
118;JLASSI Atef;2020;Les helminthes viscéraux du sanglier (Sus scrofa) : Actualités bibliographiques et dépistage par autopsie et coproscopie dans le Nord de la Tunisie;PDF
119;MEMMICH Imen;2020;Séroprévalence de l'aborder disease chez les  ovins dans différentes régions de la Tunisie;PDF
120;GUELLOUZ Dorra;2020;Etude ser-epidemiologique de la fièvre de la vallée du rift chez le dromadaire en Tunisie;PDF
121;OUERTATANI Imen;2020;Dépistage nécropsique et coproscopique des helminthes viscéraux du sanglier (Sus scrofa) dans le Nord de la Tunisie;PDF
122;JAOUADI Randa;2020;Contribution à l'étude de la transfusion sanguine chez les ovins dans le contexte Tunisien ;PDF
123;BEDOUI Waddah;2020;Contribution à l'étude des ectoparasites des chauve-souris  en Tunisie;PDF
124;MOUAKHAR Azza;2020;Etude rétrospective de dix années d'analyses bactériologique des mammites cliniques (2010-2019) chez la vache laitière et étude de l'antibiorésistance des bactéries en cause ;PDF
125;BEN GHEDIFA Ghalia;2020;Affections et cancer de la glande thyroïde : Etude bibliographique comparative entre le chien et l'humain;PDF
126;ARFAOUI Khouloud;2020;Contribution à l'étude de la leptospirose canine dans la région du Grand-Tunis;Non
127;AYARI Alaéddine;2020;Apports du laboratoire dans la détection des arboviroses-zoonoses d'origine équine: fièvre du nil occidental et stomatite vésiculeuse contagieuse;PDF
128;BEN TANFOUS Hajer;2020;Usage des antiparasitaires pour le traitement des parasitoses courantes des carnivores domestiques en Tunisie : Enquête sur questionnaire à la clinique de l'ENMV Sidi Thabet;Non
129;NASRAOUI Oussama;2020;Contribution à l'étude de la qualité bactériologique des laits en poudre;PDF
130;OUESLATI Younes;2020;Contribution à l'étude bibliographique de la peste des petits ruminants et présentation des résultats de l'enquête de prévalence sérologique dans la délégation de bargou (Siliana);Non
131;LAZHAR Mayssa;2020;Contribution à l'étude du contrôle de la machine à traite et de la qualité du lait en Tunisie ;PDF
132;SAYAR Marwen;2020;Les infections à chez les oiseaux: Actualités bibliographiques;PDF
133;CHAKROUN Med Mouadh;2020;Enquête ser-epidemiologique sur la chlamydiose chez des dromadaires sains dans différentes régions de la Tunisie;PDF
134;HASNAOUI Jihéne;2020;Contribution à l'étude de l'infestation de sept especes de possons marins pelagiques par les anisakides;PDF
135;SASSI Ramzi;2020;Impact de l'abattage rituel sur le bien etre animal et la qualite de la viande : Etude bibliographique;PDF
136;BEN ISMAIL Med Amine;2020;Approche diagnostique et therapeutique des tumeurs thoraciques primitives rares chez le chien : Etre comparative avec l'homme;PDF
137;MEMMI Hamza;2020;Contrôle de l'insemination artificielle, selection genomique des taureaux et evaluation de la  reproduction des bovins laitiers;PDF
138;AMARA Mariem;2020;Contribution à l'étude de la fièvre à virus West Nile chez les équidés dans 4 gouvernorats du nord de la Tunisie;PDF
139;DRIDI Najla;2020;Les tumeurs mediastinales chezle chat: etude comparative avec l'homme;PDF
140;TLILI Sana;2020;Les tumeurs neuroendocrines pulmonaires : En augmentation chez l'homme, exceptionnelles chez le chien;PDF
141;KADDOUR Wajih;2020;Contribution à la lecture des frottis sanguins chez les possons : approche par intelligence artificielle basée sur l'image;PDF
142;MARZOUK Ahmed;2020;Maladies infectieuses et parasitaires des poissons d'eau douce : synthèse bibliographique;PDF
143;CHAOUCH Saifeddine;2020; Contribution à l'étude des deux parasites des chiens : linguatula serrata et pneumonyssoides caninum;PDF
144;JANDOUBI Amira;2020;Etude de la prévalence moléculaire de Bartonella spp, chez les dromadaires et leurs tiques en Tunisie;Non
145;BEN JAAFAR Sayma;2020;Contribution à l'étude de l'infestation de trois espaces de scombridés par les anisakides;PDF
146;IMBOUA Dina;2020;Les pratiques de l'antibiothérapie dans les élevages de volailles de chair en Tunisie : Enquête de terrain;Non
147;ALLOUS aymen;2019;Etude des effets des champs électromagnétiques et/ou de l'huile de lentisque sur la cicatrisation des plaies cutanées chez le lapin;PDF
148;CHERIF Ali;2019;Etude rétrospective sur les localisations extra pulmonaires de l'hydatidose humaine et animale et méthodes de lutte;Non
149;DHEHIBI Tawba;2019;Les helminthes gastro-intestinaux chez les rongeurs capturés à sidi thabet, Hassi El Ferid  et Dehiba (Tunisie) ;PDF
150;GRIRA Khouloud ;2019;Contribution à l'étude anatomopathologique de la péritonite infectieuse féline;PDF
151;BEN HADJ Hmida;2019;Atlas radiographique de la tete du dromadaire (Comelus dromedarius);PDF
152;BEN OUHIBA Meriem;2019;Infection brcellique chez les petits ruminants et chez l'homme dans le gouvernorat de sisi bouzid : investigatino serologique sur les femelles ayant avorte aSidi Ali Ben Aoun;PDF
153;ASSOUDI Abdelbacet;2019;Contribution à l'étude des helminthes gastro-intestinaux du lièvre du cap ( lepus capensis) a hassi el ferid, Kasserine(Tunisie);PDF
154;DABBOUB Mohamed Ali;2019;Etude séro-épidémiologique de la brucellose chez les brebis dans différentes régions de la Tunisie;PDF
155;RHIF Nesrine;2019;Contribution à l'étude lésionnelle et parasitologique des principales infestations par les parasites intestinaux chez le poulet fermier;PDF
156;BEN OTHMEN Wathek Bellah Séjir;2019;Tumeurs thoraciques primitives rares chez le chien: Etude comparative avec l'homme;PDF
157;INOUBLI Najoua;2019;Contribution à l'étude lesionnelle de la turberculose bovine à l'abattoir de Bousalem ;PDF
158;TEBER Yahia;2019;Residus de ? lactamines dans le lait collecté par la centrale laitière du Nord;Non
159;SANHAJI Rania;2019;Etude immunopathologique de la leishmaniose oculaire canine;PDF
160;KHEDHRI asma;2019;Etude de l'impact des coccidioses aviaires sur l'etat sanitaire, le gain moyen quotidien, le gain relatif du poids et l'indice de consommation des coquelets;Non
161;MOULLA Noula;2019;Contribution à l'étude de la parvovirose et la maladie de carré chez le chien dans Nord Est de la Tunisie;PDF
162;BELKAHLA Zied;2019;Contribution à l'étude des helminthes pulmonaires et digestifs chez le sanglier dans les regions de borj touil et el nahli (Tunisie);PDF
163;BEN NEJMA Mohsen;2019;Enquête epidemiologique retrospective et mesures preventives sur les principalespathologies chez les ongules sauvages en Tunisie;PDF
164;MIZAOUI Imen;2019;Depistage moleculaire de theileria Equi et de bBabesia Caballi chez des chevaux barbes soumis au contrôle officiel de fliation  ;PDF
165;AOUINI Chiraz;2019;Conduite d'elevage et gestion technico-economique au haras national de sidi Thabet : Etude descriptive;PDF
166;LAAMAR Chaker;2019;Synthèse bibliographique sur l'encephalopathie spongiforme bovine : de l'emergence a la gestion de crise jusqu'à sa maitrise;Non
167;GADRIA Mariem;2019;Contribution à l'étude du potage bactérien du petit ténébrion (alphitobius diaperineus) collecté des élevages avicoles au Nord-Est de la Tunisie;PDF
168;LAHOUAR Ahmed;2019;Les principales parasitoses du dromadaire dans le gouvernorat de sousse;Non
169;GHORBEL Roua;2019;Contribution à l'étude de la contamination des produits de la prche par les elements traces metaliques : mercure- Cadmium-Plomb en Tunisie;PDF
170;KACHATI Badis;2019;Etude de la prévalence et de l'antibiorésistance des souches d'Escherichia coli isolées de fèces de chevaux et détection de souches productrices de bêta-lactamases à spectre étendu;PDF
171;CHELBI Nadia;2019;Proposition d'une strategie de gestion sans cruaute de la population canine errante en Tunisie;PDF
172;ESSID Aicha;2019;Utilisation de la protiene antagoniste au recepteur de l'interleukine 1 dans le traitement de l'arthrose chez le chien;PDF
173;BOUCHLAGHEM Sarra;2019;Dosage de l'azote basique volatil total chez le crabe bleu portunus segnis en Tunisie;PDF
174;TRIFI Nabil;2019;Considérations sur la peste des petits ruminants: Aspects anatomopathologiques, épidémiologiques, diagnostiques et prophylactiques;PDF
175;OUADDAY Mortadha;2019;Enseignement vétérinaire en Tunisie et a l'etranger, etude perspective et comparative, modele de reforme;Non
176;KHEFACHA Farouk;2020;Etude de la prévalence et de l'antibiorésistance des souches d'Escherichia coli isolées de fèces de chevaux et détection de souches productrices de bêta-lactamases à spectre étendu;PDF
177;JABLOUN Syrine;2019;Les pertubateurs endocriniens : risque sur la santé humaine, animale et oyens de prévention;PDF
178;KALLEL Hiba;2017;Etude de la prévalence de l'infection par les bacteries du genre ehrlichia chez le chien en Tunisie;PDF
179;AZOUZI Zeineb;2017;Detection moleculaire du coronavirus du syndrome respiration du moyen-orient ( Mers-coV) chez le dromadaire (camelus dromedarius) en Tunisie;PDF
180;OTHMANI Rahma;2018;Etude sur le secteur Apicole Biologique en Tunisie;Non
181;BLANCO Ons;2020;Contribution à l'étude des paramètres morph-biométriques de l'anguille européenne dans la lagune de Ghar El Melh ;PDF
182;SAID Nada;2020;Contribution à l'étude lesionnelle de la sarcosporidiose de la langue chez les ovins en Tunisie;PDF
183;OUESLATI Fatma;2019;Contribution à l'étude de l'infestation de neuf espèces de possons marins de la région de Ghar E Melh (gouvernorat de Bizerte) par les Anisakidés ;Non
