Annee;Auteur_affil;Isn;Langue;M_coll_auteur;M_lieu_edition;M_titre_orig;Projet_develop;Resume;Titre;source
1988;DIR. FOR.;6614;(Fr);DIR. FOR.;Tunis;Guide technique de la lutte contre l'ensablement;;/Document technique/ présentant différentes techniques de /lutte anti désert/. Données sur les /vent/s et leurs actions dans les mécanismes de l'ensablement - Données de /physique du sol/ et procédés de /fixation du sol/ notam. fixation par /paillage/ chimique et protection contre les apports de /sable/ par la /plantation/, le /reboisement/ et l'aménagement de /forêt de protection/;Guide technique de la lutte contre l'ensablement;http://www.onagri.tn/uploads/docagri/6614.PDF
1988;CNDA;6617;(Fr);CNDA;Tunis;Expérimentation et installation du minitel au CNDA;;;Expérimentation et installation du minitel au CNDA;http://www.onagri.tn/uploads/docagri/6617.PDF
1989;DGPDIA;6618;(Fr);DGPDIA;Sidi-Thabet;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;;/Document de réunion/ sur la situation actuelle et les perspectives d'avenir du /secteur agriculture/ et des /ressources naturelles/ en /Tunisie/ - Données sur l'évolution de l'agriculture tunisienne et son potentiel de développement;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;http://www.onagri.tn/uploads/docagri/6618.PDF
ND;DGPDIA;6619;(Fr);DGPDIA;Sidi-Thabet;Atelier de réflexion sur l'agriculture en l'an 2000;;/Document de réunion/ relatif à l'identification des problèmes stratégiques du /secteur agricole/ en /Tunisie/ - Réflexions sur certains points du /développement agricole/ notamm. l'/autosuffisance alimentaire/, la /politique agricole/, l'/importation/, l'/exportation/, l'intervention de l'/état/, l'/investissement/, l'/ajustement offre demande/ et la /planification agricole/;Atelier de réflexion sur l'agriculture en l'an 2000;http://www.onagri.tn/uploads/docagri/6619.PDF
1988;DGPDIA;6620;(Fr);DGPDIA;Sidi-Thabet;Atelier de reflexion sur l'agriculture tunisienne en L'an 2000;;/Document de réunion/ concern. l'évolution du /secteur agricole/ dans le monde - Données générales sur le /commerce international/;Atelier de reflexion sur l'agriculture tunisienne en L'an 2000;http://www.onagri.tn/uploads/docagri/6620.PDF
1989;DGPDIA;6621;(Fr);DGPDIA;Sidi-Thabet;Atelier de réflexion sur l'agriculture tunisienne en l'an 2000;;/Document de réunion/ relatif aux problèmes du /secteur agricole/ en /Tunisie/ - Données sur la /production végétale/, la /production animale/ et les /structures agricoles/;Atelier de réflexion sur l'agriculture tunisienne en l'an 2000;http://www.onagri.tn/uploads/docagri/6621.PDF
1989;DGPDIA;6622;(Fr);DGPDIA;Sidi-Thabet;Atelier de réflexion sur l'agriculture tunisienne en l'an 2000;;/Document de réunion/ concern. le /secteur agricole/ et l'/environnement/ en /Tunisie/ - Répercussions de la politique agricole sur l'/écologie/;Atelier de réflexion sur l'agriculture tunisienne en l'an 2000;http://www.onagri.tn/uploads/docagri/6622.PDF
1989;DGPDIA;6623;(Fr);DGPDIA;Sidi-Thabet;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;;/Document de réunion/ relatif à la /pêche/ en /Tunisie/ - /Données numériques/ sur la /production/ par /type de pêche/ par type de /poissons/ et par région géographique: /Tunisie du Nord/, évolution du /secteur pêche/ de 1979 à 1988;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;http://www.onagri.tn/uploads/docagri/6623.PDF
1989;DGPDIA;6624;(Fr);DGPDIA;Sidi-Thabet;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;;/Document de réunion/ sur les perspectives de l'/hydraulique/ agricole en /Tunisie/ - Données sur les ressources hydrauliques: /eau de surface/ /eau souterraine/ /nappe phréatique/ /nappe profonde/. Revue des /schéma directeur/ des /ressources en eau/ et ses répercussions sur l'évolution des /culture irriguée/;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;http://www.onagri.tn/uploads/docagri/6624.PDF
1989;DGPDIA;6625;(Fr);DGPDIA;Sidi-Thabet;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;;/Document de réunion/ concern. les perspectives du /secteur agricole/ au /Maghreb/. Données sur la /productivité agricole/, les /ressources naturelles/ et les /ressources humaines/;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;http://www.onagri.tn/uploads/docagri/6625.PDF
1989;DGPDIA;6626;(Fr);DGPDIA;Sidi-Thabet;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;;/Document de réunion/ concern. le /développement agricole/ des /production/s /fourragè/res et de l'/élevage/ en /Tunisie/ - Etude des systèmes de /production animale/ et des /besoin alimentaire/s du /cheptel/ selon les /zone climatique/s;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;http://www.onagri.tn/uploads/docagri/6626.PDF
1989;DGPDIA;6627;(Fr);DGPDIA;Sidi-Thabet;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;;/Document de réunion/ concern. l'/élevage/ en /Tunisie/ et son rapport avec l'évolution de l'/alimentation humaine/ - Présentation des différentes /zone climatique/s. Distribution par région bioclimatique des effectifs /bovin/s, /ovin/s, /caprin/s, /camélidé/s et /équidé/s. /Données numériques/ sur les /besoin alimentaire/s du /cheptel/ notamm. les /fourrage/s et les /parcours/;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;http://www.onagri.tn/uploads/docagri/6627.PDF
1989;DGPDIA;6628;(Fr);DGPDIA;Sidi-Thabet;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;;;Atelier de réflexion sur l'agriculture Tunisienne en l'an 2000;http://www.onagri.tn/uploads/docagri/6628.PDF
1989;DGFRA;6629;(Fr);DGFRA;Tunis;Institut de l'olivier: rapport d'activité pou l'année 1988 et programme 1989;;/Rapport d'activité/ de l'Institut de l'/Olivier/ - Inventaire des études concern. la /reconversion des plantations/, la /bioclimatologie/, la /télédetection/, l'/inflorescence/, le /bouturage/, la /pulvérisation/ d'/acide gibberellique/, le /contrôle phytosanitaire/, le piegeage sexuel, l'/industrie oléicole/;Institut de l'olivier: rapport d'activité pou l'année 1988 et programme 1989;http://www.onagri.tn/uploads/docagri/6629.PDF
1989;DIR. CES;6630;(FR);DIR. CES;Tunis;Planification des actions de conservation des eaux et du sol: gouvernorat de Gafsa;;/Monographie/ relative à la /conservation des eaux/ et la /conservation des sols/ du /gouvernorat de Gafsa/ - Données concern. le /climat/, le /milieu physique/, le /réseau hydrographique/ la /démographie/, les /structures foncières/, le /cheptel/ la /production agricole/, l'/érosion/, la /lutte anti érosion/ et l'/aménagement du milieu/;Planification des actions de conservation des eaux et du sol: gouvernorat de Gafsa;http://www.onagri.tn/uploads/docagri/6630.PDF
1989;DGPDIA;6632;(Fr);DGPDIA;Tunis;Enquête conjoncture 1988-1989;;/Données numériques/ relatives à l'/enquête/ de /conjoncture/ 1988-1989 - /Statistiques agricoles/ ventilées par région économique et /Gouvernorat/ concern. l'utilisation des /semence/s, des /engrais/, les /superficies irriguées/ et ce dans les /céréales/, les /fourrage/s et les /légumineuses/. Données sur l'/élevage bovin/, l'/élevage ovin/, l'/élevage caprin/ l'effectif du /cheptel/ et des /éleveur/s, la /collecte du lait/ et la /production/ du /lait/ et de la /viande/ et le mode de /commercialisation/;Enquête conjoncture 1988-1989;http://www.onagri.tn/uploads/docagri/6632.PDF
1989;DIR. SOLS;6642;(Fr);DIR. SOLS;Gafsa;Etude pédologique des périmètres EL Ayacha, Ouled Hadj Mansour;;/Document technique/ concern. la /pédologie/ des périmètres d'El Ayacha, oued Hadj et oued Mansour dans le /gouvernorat de Gafsa/ - Données sur le /climat/ la /géomorphologie/ la /géologie/ l'/occupation des sols/ le /réseau hydrologique/ et les /type de sol/;Etude pédologique des périmètres EL Ayacha, Ouled Hadj Mansour;http://www.onagri.tn/uploads/docagri/6642.PDF
1989;CNDA;6644;(FR);CNDA;Tunis;Rapport d'activité du centre national de documentation agricole , année 1981;;/Rapport d'activité/ de 1981 concern. le /CNDA/ - Données relatives à la /documentation/ agricole de la /base de données/ tunagri, aux /fichier documentaire/s crées sur minisis, au service /informatique/ et à la /diffusion de l'information/;Rapport d'activité du centre national de documentation agricole , année 1981;http://www.onagri.tn/uploads/docagri/6644.PDF
1988;CNDA;6645;(FR);CNDA;Tunis;Rapport d'activité du centre national de documentation agricole 1980;;;Rapport d'activité du centre national de documentation agricole 1980;http://www.onagri.tn/uploads/docagri/6645.PDF
