Annee;Auteur_affil;Isn;Langue;M_coll_auteur;M_lieu_edition;M_titre_orig;Projet_develop;Resume;Titre;source
2003;Mares, H.;11303;(FR);FEM/GEFIPGRIPNUDINRAT;Tunis;DOCUMENT TECHNIQUEDROIT DE PROPRIETEGENETIQUE VEGETALEPALMIER DATTIERMAGHREBTUNISIELEGISLATIONREGLEMENTATION.  L'objectif de l'étude est de faire une analyse approfondie de la législation en vigueur en matière de commerce et des droits de propriété et d'obtention des ressources génétiques du palmier dattier, de manière à dégager les contraintes existantes actuellement et des recommandations portant sur un ensemble minimum de normes communes, applicables, acceptables et permettant de faciliter l'échange de materiel génétique entre l'Algerie, le Maroc et la Tunisie. L'objectif de l'étude est aussi de ressortir les éléments nécessaires pour la rédaction d'accords équitables d'échange de germoplasmes  et d'en surveiller l'exécution, accords qui établiront les conditions d'utilisation du matériel phytogénétique dans le cadre des partenaires établis par le projet RAB:G31;PROJET  PALMIER DATTIER AU MAGHREB (RAB 98 G31);/DOCUMENT TECHNIQUE//DROIT DE PROPRIETE//GENETIQUE VEGETALE//PALMIER DATTIER//MAGHREB//TUNISIE//LEGISLATION//REGLEMENTATION/.  L'objectif de l'étude est de faire une analyse approfondie de la législation en vigueur en matière de commerce et des droits de propriété et d'obtention des ressources génétiques du palmier dattier, de manière à dégager les contraintes existantes actuellement et des recommandations portant sur un ensemble minimum de normes communes, applicables, acceptables et permettant de faciliter l'échange de materiel génétique entre l'Algerie, le Maroc et la Tunisie. L'objectif de l'étude est aussi de ressortir les éléments nécessaires pour la rédaction d'accords équitables d'échange de germoplasmes  et d'en surveiller l'exécution, accords qui établiront les conditions d'utilisation du matériel phytogénétique dans le cadre des partenaires établis par le projet RAB:G31;;http://www.onagri.tn/uploads/docagri/11303.pdf
2004;MIN. AGR. ENV. RESS. HYDR.;11474;(AR);MIN. AGR. ENV. RESS. HYDR.;Tunis;DOCUMENT TECHNIQUEFORMATION PROFESSIONNELLEFORMATION CONTINUETUNISIEENSEIGNEMENT AGRICOLE;;/DOCUMENT TECHNIQUE//FORMATION PROFESSIONNELLE//FORMATION CONTINUE//TUNISIE//ENSEIGNEMENT AGRICOLE/;;http://www.onagri.tn/uploads/docagri/11474.pdf
2004;DGRE;11638;(FR);DGRE;Tunis;Annuaire relatif à la pluviométrie de la Tunisie  - Réparation des pluies journalières, mensuelles et annuelles selon les bassins et les gouvernorats\n;;/Annuaire/ relatif à la /pluviométrie/ de la /Tunisie/  - Réparation des /pluie/s journalières, mensuelles et annuelles selon les bassins et les /gouvernorat/s\n;Annuaire pluviometrique de Tunisie 2003-2004;http://www.onagri.tn/uploads/docagri/11638.pdf
2006;DIR. GLE. FORETS.;11670;(FR);DIR. GLE. FORETS.;Quebec(Canada);DOCUMENT TECHNIQUEPLANTFORETFORESTERIEPLANTE ORNEMENTALEPEPINIEREBIOMASSEIRRIGATIONBESOIN EN EAUCROISSANCE VEGETALEFERTILISATIONMYCORRHIZE;;/DOCUMENT TECHNIQUE//PLANT//FORET//FORESTERIE//PLANTE ORNEMENTALE//PEPINIERE//BIOMASSE//IRRIGATION//BESOIN EN EAU//CROISSANCE VEGETALE//FERTILISATION//MYCORRHIZE/;;http://www.onagri.tn/uploads/docagri/11670.pdf
2005;DIR. GLE. FORETS.;11744;(FR);DIR. GLE. FORETS.;Tunis;Document technique relatif aux résultats du deuxième  inventaire forestier national . Résultats du gouvernorat de jendouba du gouvernorat de Beja et du gouvernorat de Bizerte - Statistiques et carte de végétation ventilées par gouvernorat. Données concern. les essence forestières, les périmètre forestiers et la couverture végétale\n;;/Document technique/ relatif aux résultats du deuxième  /inventaire forestier/ national . Résultats du /gouvernorat de jendouba/ du /gouvernorat de Beja/ et du /gouvernorat de Bizerte/ - /Statistique/s et /carte de végétation/ ventilées par gouvernorat. Données concern. les /essence forestière/s, les /périmètre forestier/s et la /couverture végétale/\n;Deuxième inventaire forestier et pastoral national. Inventaire des forêts par télédetection. Résultats de l'inventaire forestier sur l'échelon de Jendouba. Gouvernoirats de Jendouba, Béja et Bizerte;http://www.onagri.tn/uploads/docagri/11744.pdf
2004;DIR. GLE. GENIE RUR. ET DE L'EXPL. DES EAUX;11804;(FR);DIR. GLE. GENIE RUR. ET DE L'EXPL. DES EAUX;Tunisie;DOCUMENT TECHNIQUEMACHINISME AGRICOLETUNISIE;;/DOCUMENT TECHNIQUE//MACHINISME AGRICOLE//TUNISIE/;;http://www.onagri.tn/uploads/docagri/11804.pdf
2006;Lebdi, F.;11805;(FR);MIN. AGR. ET DES RESS. HYDR.;Tunis;DOCUMENT TECHNIQUEPERIMETRE D'IRRIGATIONRESEAU D'IRRIGATIONECONOMIE DE L'EAU;;/DOCUMENT TECHNIQUE//PERIMETRE D'IRRIGATION//RESEAU D'IRRIGATION//ECONOMIE DE L'EAU/;Périmètres irrigués en Tunisie et éléments de perspectives;http://www.onagri.tn/uploads/docagri/11805.pdf
2006;CRDA , Tunis;11809;(AR);CRDA , Tunis;Tunis;DOCUMENT TECHNIQUESTATISTIQUES AGRICOLESPRODUCTION AGRICOLE;;/DOCUMENT TECHNIQUE//STATISTIQUES AGRICOLES//PRODUCTION AGRICOLE/;;http://www.onagri.tn/uploads/docagri/11809.pdf
2000;MIN. AGR.;11878;(FR);MIN. AGR.;Tunis;Budget économique 2000. Le contenu global;;/Document technique/ relatif au /budget économique/ 2000 - Données concern. la /politique économique/ la /politique agricole/,le /developpement agricole/ et les /prévision économique/s relatifs au /secteur agricole/\n;Budget économique 2000. Le contenu global;http://www.onagri.tn/uploads/docagri/11878.pdf
2005;DGEDA;13019;(AR);DGEDA;Tunis;[Enquête sur les oasis 2006];;/ENQUETE AGRICOLE//STATISTIQUES AGRICOLES//GOUVERNORAT DE GABES//GOUVERNORAT DE GAFSA//GOUVERNORAT DE KEBILI//GOUVERNORAT DE TOZEUR//PALMIER DATTIER//PRODUCTION//RENDEMENT//DATTE//VARIETE/\n;[Enquête sur les oasis 2006];http://www.onagri.tn/uploads/docagri/13019.pdf
2010;DIR. GLE. GENIE RUR. ET DE L'EXPL. DES EAUX;13103;(FR);DIR. GLE. GENIE RUR. ET DE L'EXPL. DES EAUX;Tunis;Situation des périmétres irrigués à partir des eaux usées traitées. Campagne 2008-2009;;/DOCUMENT TECHNIQUE//PERIMETRE D'IRRIGATION//EAU USEE//UTILISATION DES EAUX USEES//TUNISIE//STATISTIQUE//DEGRADATION DU SOL/;Situation des périmétres irrigués à partir des eaux usées traitées. Campagne 2008-2009;http://www.onagri.tn/uploads/docagri/13103.pdf
2013;GIZ;13526;(FR) (AR);GIZ;Tunisie;Rapport : La gestion durable des systèmes oasiens;;/DOCUMENT TECHNIQUE//OASIS//DATTE//RESSOURCES EN EAU//RESSOURCES EN SOL//PALMIER DATTIER//TOURISME//PRODUCTION//ENVIRONNEMENT/;Rapport : La gestion durable des systèmes oasiens;http://www.onagri.tn/uploads/docagri/13526.pdf
2013;DGEDA;13544;(AR);DGEDA;;[Enquête sur le suivi de la campagne agricole 2012-2013 ( Première phase)]\n;;/Statistiques agricoles/ relatives aux résultats de l'/enquête agricole/ sur le suivi de la /campagne agricole/ 2012-2013\n;[Enquête sur le suivi de la campagne agricole 2012-2013 ( Première phase)]\n;http://www.onagri.tn/uploads/docagri/13544.pdf
2011;DGEDA;13547;(AR);DGEDA;Tunis;[ Annuaire des statistiques agricoles 2011]\n;;/ANNUAIRE/ DES /STATISTIQUES AGRICOLES/. DONNEES CONCERN. LA /PLUVIOMETRIE/ LA SITUATION DES /BARRAGE/S , LES /RESSOURCES EN EAU/,L'  /ENSEIGNEMENT AGRICOLE/ , LA /FORMATION PROFESSIONNELLE/ ,L'  /OCCUPATION DES SOLS/ , LA /PRODUCTION VEGETALE/ , LA /PRODUCTION ANIMALE/, LA /PECHE/, LES /INDUSTRIE AGROALIMENTAIRE/S , LE /COMMERCE INTERIEUR/ , LE /COMMERCE EXTERIEUR/, LA /BALANCE COMMERCIALE/ ET LES /PRIX/\n;[ Annuaire des statistiques agricoles 2011]\n;http://www.onagri.tn/uploads/docagri/13547.pdf
2014;DGEDA;13573;(AR);DGEDA;Tunis;[Resultats de l'enquete sur les périmètres irrigués en intensif 2013]\n;;/statistiques agricoles/ présentant les résultats de l'/enquête agricole/ sur les /périmètre d'irrigation/  - /PPI/ et /terres privées/ irriguées constituent les deux types de périmètres enquêtés. Ventilées par /gouvernorat/, les /statistiques agricoles/ traitent des niveaux d'intensification ainsi que des /superficies irriguées/ des principales spéculations : /céréales/, /grandes cultures/, /maraichage/ et /arboriculture/\n;[Resultats de l'enquete sur les périmètres irrigués en intensif 2013]\n;http://www.onagri.tn/uploads/docagri/13573.pdf
2013;DGEDA;13599;(AR);DGEDA;Tunis;[Enquête sur les oasis 2013];;/ENQUETE AGRICOLE//STATISTIQUES AGRICOLES//GOUVERNORAT DE GABES//GOUVERNORAT DE GAFSA//GOUVERNORAT DE KEBILI//GOUVERNORAT DE TOZEUR//PALMIER DATTIER//PRODUCTION//RENDEMENT//DATTE//VARIETE/;[Enquête sur les oasis 2013];http://www.onagri.tn/uploads/docagri/13599.pdf
2012;DGEDA;13608;(AR);DGEDA;Tunis;[Enquête sur les oasis 2012];;/ENQUETE//OASIS/;[Enquête sur les oasis 2012];http://www.onagri.tn/uploads/docagri/13608.pdf
2014;DGEDA;15002;(AR);DGEDA;Tunis;Enquête de suivi de la campagne agricole 2013/2014 (la première phase);;/STATISTIQUES AGRICOLES/ RELATIVES AUX RESULTATS DE L'/ENQUETE AGRICOLE/ SUR LE SUIVI DE LA /CAMPAGNE AGRICOLE/2013/2014;Enquête de suivi de la campagne agricole 2013/2014 (la première phase);http://www.onagri.tn/uploads/docagri/15002.pdf
2013;MIN. AGR. RESS. EN EAU;15004;(AR);MIN. AGR. RESS. EN EAU;Tunis;Secteur de la santé des plantes en Tunisie réalité et perspectives et la proposition de réforme fondamentale;;/MALADIE PARASITAIRE DES PLANTES/;Secteur de la santé des plantes en Tunisie réalité et perspectives et la proposition de réforme fondamentale;http://www.onagri.tn/uploads/docagri/15004.pdf
2016;ENMV;15113;(FR);ENMV;Sidi thabet;contribution à l'étude descriptive et évolutive de l'efficacité de la vaccination contre la maladie de newcastle dans les élevage avicoles du gouvernorat de sfax;;;contribution à l'étude descriptive et évolutive de l'efficacité de la vaccination contre la maladie de newcastle dans les élevage avicoles du gouvernorat de sfax;http://www.onagri.tn/uploads/docagri/15113.pdf
2016;ENMV;15121;(FR);ENMV;Tunis;Apport de la cytologie et de l'histologie en oncologie canine;;;Apport de la cytologie et de l'histologie en oncologie canine;http://www.onagri.tn/uploads/docagri/15121.pdf
2010;INRGREF;15127;(FR);INRGREF;Tunisie;Code forestier et ses textes d'appplication;;;Code forestier et ses textes d'appplication;http://www.onagri.tn/uploads/docagri/15127.pdf
2014;DIR. FOR.MIN. AGR.;15128;(FR);DIR. FOR.MIN. AGR.;Tunisie;Déclaration Pacte pour la Tunisie verte;;;Déclaration Pacte pour la Tunisie verte;http://www.onagri.tn/uploads/docagri/15128.pdf
;DG FOR.MIN. AGR.;15129;(FR);DG FOR.MIN. AGR.;Tunisie;"Document fondateur "" Pacte pour la Tunisie verte""";;;"Document fondateur "" Pacte pour la Tunisie verte""";http://www.onagri.tn/uploads/docagri/15129.pdf
2016;DG FOR.MIN. AGR.;15130;(FR);DG FOR.MIN. AGR.;Tunis;"Pacte pour une Tunisie verte "" présentation de l'initiative Pacte pour une Tunisie verte";;;"Pacte pour une Tunisie verte "" présentation de l'initiative Pacte pour une Tunisie verte";http://www.onagri.tn/uploads/docagri/15130.pdf
2015;Strategie nationale de deveppement et de gestion durable des forets et des parcours, 2015-2024;15131;(FR);GizMIN. AGR.;;Strategie nationale de deveppement et de gestion durable des forets et des parcours, 2015-2024.;;;Strategie nationale de deveppement et de gestion durable des forets et des parcours, 2015-2024.;http://www.onagri.tn/uploads/docagri/15131.pdf
2016; Barajas Gómez R CCachia F Suárez R Suárez  I ;15213;(FR);FAO;;Le coût de production agricole;;;Le coût de production agricole;http://www.onagri.tn/uploads/docagri/15213.pdf
2017;Daly-Hassen,H.;15277;(FR);CUICN;;Valeur économique des services écosystémiques du parc national de l'Ichkeul, Tunis.;;;Valeur économique des services écosystémiques du parc national de l'Ichkeul, Tunis.;http://www.onagri.tn/uploads/docagri/15277.pdf
2017;Hamed Daly,H.;15278;(FR);ENMV;Sidi Thabet;Le programme national de lutte antirabique : informations sur les actions et estimation des couts.;;;Le programme national de lutte antirabique : informations sur les actions et estimation des couts.;http://www.onagri.tn/uploads/docagri/15278.pdf
2016;Hamed Daly, H.;15279;(FR);FAO;;Estimation de la valeur économique et sociale des biens et services rendus par les écosytémes forestiers méditerranéens;;;Estimation de la valeur économique et sociale des biens et services rendus par les écosytémes forestiers méditerranéens;http://www.onagri.tn/uploads/docagri/15279.pdf
2010;Boukraa, R. Karem, A.;15280;(FR);Centre de Publication Universitaire.;Tunis;Protéction de la biodiversite et développement durable.;;;Protéction de la biodiversite et développement durable.;http://www.onagri.tn/uploads/docagri/15280.pdf
2013;INRGREF;15281;(FR);CENTRE DE PUBLICATION UNIVERSITAIRE.;Tunis;Recueil d'articles Economie Forestière en Tunisie;;;Recueil d'articles Economie Forestière en Tunisie;http://www.onagri.tn/uploads/docagri/15281.pdf
2016;Hamed Daly, H.;15292;(FR);FAO;;Estimation de la valeur économique et sociale des biens et services rendus par les écosystémes forestiers méditerranées.;;;Estimation de la valeur économique et sociale des biens et services rendus par les écosystémes forestiers méditerranées.;http://www.onagri.tn/uploads/docagri/15292.pdf
2017;Hamed Daly, H.;15293;(FR);CUICN;;Valeur économique des services écosystémiques du parc national de l'Ichkeul, Tunisie.;;;Valeur économique des services écosystémiques du parc national de l'Ichkeul, Tunisie.;http://www.onagri.tn/uploads/docagri/15293.pdf
2015;anses;15349;(FR);anses;France;xylella fastidiosa;;;xylella fastidiosa;http://www.onagri.tn/uploads/docagri/15349.pdf
2017;PIERCE,B.N.;15350;(FR);U.S. DEPARTMENT OF AGRICULTURE.;France;"""California vine disease"" :premier détection à anaheim (Ca)en 1884 (Pierce 1892)";;;"""California vine disease"" :premier détection à anaheim (Ca)en 1884 (Pierce 1892)";http://www.onagri.tn/uploads/docagri/15350.pdf
2017;BLANCA B,L.;15351;(FR);GOIB;SP;Emergence of Xylella fastidiose in spain : Current situation;;;Emergence of Xylella fastidiose in spain : Current situation;http://www.onagri.tn/uploads/docagri/15351.pdf
2017;;15352;(FR);;Tunis;Xylella fastidiosa;;;Xylella ffastidiosa;http://www.onagri.tn/uploads/docagri/15352.pdf
2017;;15353;(FR);;;Xylella fastidiosa;;;Xylella fastidiosa;http://www.onagri.tn/uploads/docagri/15353.pdf
2017;ALDOBAI, SH.;15354;(FR);FAO;Tunis;"""Preventive measures for the introdution and spread of Xylella fastidiosa-Olive quick decline syndrome in NENA countries""";;;"""Preventive measures for the introdution and spread of Xylella fastidiosa-Olive quick decline syndrome in NENA countries""";http://www.onagri.tn/uploads/docagri/15354.pdf
2009;ISTA;15361;(FR);ISTA;;Characteristcs and identification of xylem-sap feeders.;;;Characteristcs and identification of xylem-sap feeders.;http://www.onagri.tn/uploads/docagri/15361.pdf
2017;GIAMPETRUZZI,A.;15362;(FR);GIAMPETRUZZI,A.;;Insights into the genome of the de donno strain of Xylella fastidiosa;;;Insights into the genome of the de donno strain of Xylella fastidiosa;http://www.onagri.tn/uploads/docagri/15362.pdf
2012;Herbel,D. Crowley, E, Ourabah Haddad, N. Lee, M.;15386;(FR);FAO;2012;Des institutions rurales innovantes pour ameliorer la securité alimentaire.;;;Des institutions rurales innovantes pour ameliorer la securité alimentaire.;http://www.onagri.tn/uploads/docagri/15386.pdf
2013;Mkaouar, H. Mesghouni, KH.;15387;(FR);HAL;;Optimisation des plannings des affectations multi niveaux des flux des céréales importées.;;;Optimisation des plannings des affectations multi niveaux des flux des céréales importées.;http://www.onagri.tn/uploads/docagri/15387.pdf
2015;KHaldi, R. Saaidia , B.;15388;(FR);FAO;;Analyste de la filére céréaliere en Tunisie et identification des principaux points de dysfonctionnement  à  l'origne des pertes.;;;Analyste de la filére céréaliere en Tunisie et identification des principaux points de dysfonctionnement  à  l'origne des pertes.;http://www.onagri.tn/uploads/docagri/15388.pdf
2016;Rastoin, J-L. Ferroukhi, Sid A. Abis, S;15389;(FR);HAL;Tunis;Pour une sécurité et une souveraineté alimentaires durables et partagées.;;;Pour une sécurité et une souveraineté alimentaires durables et partagées.;http://www.onagri.tn/uploads/docagri/15389.pdf
2017;Abecassis , J. Allaoua , A. Ben Beecher, L. Elloumi , M.;15390;(FR);IPEMED;;Blé dur de l'organisation des filières à la structuration d'un réseau méditerranéen.;;;Blé dur de l'organisation des filières à la structuration d'un réseau méditerranéen.;http://www.onagri.tn/uploads/docagri/15390.pdf
2017;Guigou, J-L. Brahim, M.;15391;(FR);IPEMED;Tunis;Le rééquilibrage de la balance commerciale en Tunisie;;;Le rééquilibrage de la balance commerciale en Tunisie;http://www.onagri.tn/uploads/docagri/15391.pdf
2015;Rastion , J-L.;15392;(FR);IPEMED;;Le secteur des micro-algues en Méditerranée;;;Le secteur des micro-algues en Méditerranée;http://www.onagri.tn/uploads/docagri/15392.pdf
2016;Bouzanquet, H. Brugiére.;15393;(FR);RESOLIS;;Les systèmes alimentaires territorialisés en méditerranée.;;;Les systèmes alimentaires territorialisés en méditerranée.;http://www.onagri.tn/uploads/docagri/15393.pdf
2016;FAO;15398;(FR);FAO;;Pour une sécurité et une souveraineté alimentaires durables et partagées.;;;Pour une sécurité et une souveraineté alimentaires durables et partagées.;http://www.onagri.tn/uploads/docagri/15398.pdf
2017;FAO;15399;(FR);FAO;;Gestion durable des forêts au service de la sécurité alimentaire et de la nutrition;;;Gestion durable des forêts au service de la sécurité alimentaire et de la nutrition;http://www.onagri.tn/uploads/docagri/15399.pdf
2017;CSA;15400;(FR);CSA;Rome;Extrait du rapport1 Gestion durable des forêts au service de la sécurité alimentaire et de la nutrition;;;Extrait du rapport1 Gestion durable des forêts au service de la sécurité alimentaire et de la nutrition;http://www.onagri.tn/uploads/docagri/15400.pdf
2018;CFS;15401;(FR);CFS;;Agroecological approaches and other innovations for sustainable agriculture and food systems that enhance food security and nutrition;;;Agroecological approaches and other innovations for sustainable agriculture and food systems that enhance food security and nutrition;http://www.onagri.tn/uploads/docagri/15401.pdf
2017;PNUDFAO;15407;(FR);ResearchGate;;Using payments for environnemental services improve conservation a Tunisian Watershed;;;Using payments for environnemental services improve conservation a Tunisian Watershed;http://www.onagri.tn/uploads/docagri/15407.pdf
2017;Hamed Daly, H.;15408;(FR);INGREF;;Recueil d'articles Economie forestiére en Tunisie;;;Recueil d'articles Economie forestiére en Tunisie;http://www.onagri.tn/uploads/docagri/15408.pdf
2017;Hamed Daly, H.;15409;(FR);Rotledge;Tunis;Valuuing trade- offs between local forest uses and envionmental services in Tunisie.;;;Valuuing trade- offs between local forest uses and envionmental services in Tunisie.;http://www.onagri.tn/uploads/docagri/15409.pdf
1999;MIN. AGR.;84341;(Ar);MIN. AGR.;Tunis;[Compte rendu de la réunion concernant le suivi des recommandations de la consultation nationale relative à la rentabilité du secteur agricole et au développement de l'Agence Foncière agricole];;/Document de reunion/ relatif à la /rentabilité/ du /secteur agricole/ et au développement de l'agence foncière agricole - Les principales communications traitent des thèmes suivants : le /remembrement/ /foncier/, la /parcellisation de l'exploitation/, les realisations de l'/immatriculation foncière/, le transfert de la /propriété foncière/ dans les /PPI/ et le remembrement /foncier/ à Oued Alaya dans la imadat /Sidi Ismail/ de la délégation Beja Sud;[Compte rendu de la réunion concernant le suivi des recommandations de la consultation nationale relative à la rentabilité du secteur agricole et au développement de l'Agence Foncière agricole];http://www.onagri.tn/uploads/docagri/84341.pdf
1985;GTZ (DE);84551;(Fr);GTZ (DE);Tunis;Abrégé de production cunicole tenant compte des conditions specifiques des pays en développement;;/Lapin/ /technique d'elevage/ /alimentation animale/ /reproduction animale/;Abrégé de production cunicole tenant compte des conditions specifiques des pays en développement;http://www.onagri.tn/uploads/docagri/84551.pdf
1994;GTZ (DE);85046;(FR);GTZ (DE);Rossdorf(RFA);La defence des cultures en Afrique du Nord en considérant le cas de la Tunisie.;;/DOCUMENT TECHNIQUE//MALADIE PARASITAIRE DES PLANTES//CEREALES//MAIS//PROTECTION DES PLANTES/;La defence des cultures en Afrique du Nord en considérant le cas de la Tunisie.;http://www.onagri.tn/uploads/docagri/84864.pdf
2008;APIA;85335;(FR);APIA;Tunis;Etude de faisabilité de l'accord d'un signe de qualité pour la tomate produite par l'utilisation des eaux géothermques.;PROJET DE RENFORCEMENT DES SERV.  D'APPUI A L'AGR.;/DOCUMENT TECHNIQUE//TOMATE//IRRIGATION//GEOTHERMIE//QUALITE//LABEL DE QUALITE/;Etude de faisabilité de l'accord d'un signe de qualité pour la tomate produite par l'utilisation des eaux géothermques.;http://www.onagri.tn/uploads/docagri/85335.pdf
1975;ONHFAO;2800;(FR);ONHFAO;Tunis;Propositions relatives modalités d'exécution d'un programme de régénération des vieux oliviers;FAO/SIDA/TUN-2;/Note technique/ sur les critères pour réaliser la /régénération artificielle/ des vieux /olivier/ et /subvention/ de deux dinars par pieds;Propositions relatives modalités d'exécution d'un programme de régénération des vieux oliviers;http://www.onagri.tn/uploads/docagri/2800N.PDF
1975;ONHFAO;2801;(FR);ONHFAO;Tunis;Note relative à un programme de régénération d'oliviers senescents en Tunisie pour la période 1975-79;FAO/SIDA/TUN-2;/Note technique/ relative à un /programme de développement/ des /olivier/s par /régénération artificielle/ pour la période de 1975-1979 - /Investissement/ prévu et moyens à mettre en oeuvre;Note relative à un programme de régénération d'oliviers senescents en Tunisie pour la période 1975-79;http://www.onagri.tn/uploads/docagri/2801N.PDF
1976;ONHFAO;2803;(FR);ONHFAO;Tunis;Régénération. Protocole de la démonstration-test;FAO/SIDA/TUN-2;/Note technique/ concern. le protocole de /vulgarisation agricole/ pour démonstration de /régénération artificielle/ par rejet de souche des /olivier/s avec /taille de formation/ avec carnet d'information;Régénération. Protocole de la démonstration-test;http://www.onagri.tn/uploads/docagri/2803N.PDF
1976;ONHFAO;2804;(FR);ONHFAO;Tunis;Régénération de l'olivier;FAO/SIDA/TUN-2;/Note technique/ sur les différentes techniques de /régénération artificielle/ des /olivier/s par rejet de souche, /technique de taille/, de re/plantation/ ect. avec /entretien des plantations/ - /Inventaire/ des oliviers par classe d'âge et par /gouvernorat/ en 1974-1975;Régénération de l'olivier;http://www.onagri.tn/uploads/docagri/2804N.PDF
1978;ONHFAO;2805;(FR);ONHFAO;Tunis;Régénération et reconversion des olivettes;FAO/SIDA/TUN-2;/Note technique/ sur les /technique culturale/ permettant la régénération des vieux /olivier/s. Estimation globale et par region des oliviers à régénérer. Choix de la /reconversion des plantations/ par region;Régénération et reconversion des olivettes;http://www.onagri.tn/uploads/docagri/2805N.PDF
1977;ONHFAO;2806;(FR);ONHFAO;Tunis;Note relative à l'évolution du sous-secteur savonnerie;FAO/SIDA/TUN-2;/Note technique/ sur le développement de l/industrie oleicole/ en partic des /savonnerie/s industrielles et artisanales en Tunisie avec étude de /consommation/ du savon;Note relative à l'évolution du sous-secteur savonnerie;http://www.onagri.tn/uploads/docagri/2806N.PDF
1975;ONHFAO;2807;(FR);ONHFAO;Tunis;Schéma directeur des industries oleicoles. Méthodologie;FAO/SIDA/TUN-2;/Etude méthodologique/ du /schéma directeur/ de l/industrie oleicole/;Schéma directeur des industries oleicoles. Méthodologie;http://www.onagri.tn/uploads/docagri/2807N.PDF
1976;ONHFAO;2808;(FR);ONHFAO;Tunis;"Préparation d'un schéma directeur. Collecte d'informations. Etude de cas usine de grignons ""savonnerie africaine""";FAO/SIDA/TUN-2;/Note technique/ pour la /collecte de données/ dans le cadre de la préparation du /schéma directeur/ de l/industrie oleicole/. /Etude de cas/ relative à la /savonnerie/ africaine usine d/extraction/ d/huile/ de /grignon d'olive/;"Préparation d'un schéma directeur. Collecte d'informations. Etude de cas usine de grignons ""savonnerie africaine""";http://www.onagri.tn/uploads/docagri/2808N.PDF
1976;ONHFAO;2809;(FR);ONHFAO;Tunis;Recommandations pour l'élaboration d'un schéma directeur de l'industrie oleicole Tunisienne;FAO/SIDA/TUN-2;Note concern. les recommandations pour l'élaboration du /schéma directeur/ de l/industrie oleicole/;Recommandations pour l'élaboration d'un schéma directeur de l'industrie oleicole Tunisienne;http://www.onagri.tn/uploads/docagri/2809N.PDF
1976;ONHFAO;2810;(FR);ONHFAO;Tunis;Perspectives de production d'olives. Schéma directeur des industries oleicoles;FAO/SIDA/TUN-2;/Note technique/ concern. les /prévision économique/s de /production/ d/olive/s en vue du calcul des variantes pour l'élaboration du /schéma directeur/ de l/industrie oleicole/;Perspectives de production d'olives. Schéma directeur des industries oleicoles;http://www.onagri.tn/uploads/docagri/2810N.PDF
1977;Bruinsma, J.N.;2811;(FR);ONHFAO;Tunis;Schéma directeur de développement et de modernisation des industries oleicoles;FAO/SIDA/TUN-2;/Etude méthodologique/ concern. la /modélisation/ base de travail du /schéma directeur/ de l/industrie oleicole/;Schéma directeur de développement et de modernisation des industries oleicoles;http://www.onagri.tn/uploads/docagri/2811N.PDF
1977;ONHFAO;2812;(FR);ONHFAO;Tunis;Schéma directeur de l'industrie oleicole;FAO/SIDA/TUN-2;/Document technique/ concern. la préparation du /schéma directeur/ de l/industrie oleicole/ en matière de /prévision économique/ à l'horizon 1986 pour les /coût de production/ pour la /trituration/ et l'évolution du /prix/ du /transport/ et du coût de production des /olive/s;Schéma directeur de l'industrie oleicole;http://www.onagri.tn/uploads/docagri/2812N.PDF
1977;ONHFAO;2813;(FR);ONHFAO;Tunis;Comptes d'exploitation huileries. Enquêtes 1975/76 et 1976/77. Préparation du schéma directeur de l'industrie oleicole;FAO/SIDA/TUN-2;/Document technique/ sur les /comptes de gestion/ des /huilerie/s suite à l/enquête/ 1975, 76 et 1976, 77 pour la préparation du /schéma directeur/ de l/industrie oleicole/. /Analyse des coûts/ en fonction des système d/extraction/ de l/huile d'olive/. Résultats concern. les charges fixes et la /rentabilité/ économique comparée des systèmes;Comptes d'exploitation huileries. Enquêtes 1975/76 et 1976/77. Préparation du schéma directeur de l'industrie oleicole;http://www.onagri.tn/uploads/docagri/2813N.PDF
1977;Dufour, A.Brujma, H.Maoui, R.Vercueil, J.;2814;(FR);ONHFAO;Tunis;Comparaison de deux variantes d'investissement. Schéma directeur de l'industrie oleicole;FAO/SIDA/TUN-2;/Document technique/ concern. l/étude méthodologique/ du /schéma directeur/ de l/industrie oleicole/ par application à 2 variantes d/investissement/ maintien ou accroissement de la /capacité de production/ pour la /trituration/ avec renouvellement des super presses et création d/huilerie/;Comparaison de deux variantes d'investissement. Schéma directeur de l'industrie oleicole;http://www.onagri.tn/uploads/docagri/2814N.PDF
1977;ONHFAO;2815;(FR);ONHFAO;Tunis;Approche générale et hypothèses de référence (capacité de trituration). Schéma directeur de l'industrie oleicole;FAO/SIDA/TUN-2;Etude théorique sur l'accroissement de la /capacité de production/ pour la /trituration/ des /olive/s face à l'accroissement de la /production agricole/ dans le cadre du /schéma directeur/ de l/industrie oleicole/;Approche générale et hypothèses de référence (capacité de trituration). Schéma directeur de l'industrie oleicole;http://www.onagri.tn/uploads/docagri/2815N.PDF
1977;ONHFAO;2816;(FR);ONHFAO;Tunis;Schéma directeur des huileries en Tunisie. Compte rendu des décisions sur le programme de travail, 7/8 juillet 1977;FAO/SIDA/TUN-2;/Rapport de réunion/ relatif au programme de travail pour l'établissement du /schéma directeur/ de l/industrie oleicole/;Schéma directeur des huileries en Tunisie. Compte rendu des décisions sur le programme de travail, 7/8 juillet 1977;http://www.onagri.tn/uploads/docagri/2816N.PDF
