Gouvernorats,Annee,superficie_emblavees_1000_ha
"Kasserine,1995 ,""89,2 """
"Sidi Bouzid,1995 ,""26,9 """
"Gafsa,1995 ,""30,1 """
Gabès,1995 ,7 
Medenine,1995 ,5 
Tozeur,1995 , 
Kébili,1995 ,2 
"Tataouine,1995 ,""3,8 """
"Tunis,1996 ,""1,4 """
"Ariana,1996 ,""34,8 """
Manouba,1996 ,
"Ben Arous,1996 ,""7,4 """
"Nabeul,1996 ,""16,8 """
"Bizerte,1996 ,""67,6 """
"Béja,1996 ,""92,6 """
"Jendouba,1996 ,""65,8 """
"Kef,1996 ,""126,3 """
Siliana,1996 ,103 
Zaghouan,1996 ,54 
Sousse,1996 ,40 
Monastir,1996 ,4 
Mahdia,1996 ,16 
"Sfax,1996 ,""26,5 """
"Kairouan,1996 ,""91,1 """
"Kasserine,1996 ,""109,6 """
"Sidi Bouzid,1996 ,""120,8 """
"Gafsa,1996 ,""85,3 """
Gabès,1996 ,24 
Medenine,1996 ,10 
Tozeur,1996 ,1 
"Kébili,1996 ,""6,5 """
"Tataouine,1996 ,""4,3 """
Tunis,1997 ,1 
"Ariana,1997 ,""30,67 """
Manouba,1997 ,
"Ben Arous,1997 ,""6,5 """
"Nabeul,1997 ,""19,53 """
"Bizerte,1997 ,""66,69 """
"Béja,1997 ,""87,1 """
"Jendouba,1997 ,""62,13 """
"Kef,1997 ,""116,26 """
"Siliana,1997 ,""94,28 """
"Zaghouan,1997 ,""38,9 """
"Sousse,1997 ,""8,97 """
"Monastir,1997 ,""0,57 """
"Mahdia,1997 ,""3,8 """
"Sfax,1997 ,""0,09 """
"Kairouan,1997 ,""51,63 """
"Kasserine,1997 ,""74,89 """
"Sidi Bouzid,1997 ,""9,68 """
"Gafsa,1997 ,""0,57 """
"Gabès,1997 ,""0,08 """
"Medenine,1997 ,""0,19 """
Tozeur,1997 , 
Kébili,1997 ,
Tataouine,1997 , 
"Tunis,1998 ,""0,98 """
"Ariana,1998 ,""33,89 """
Manouba,1998 ,
"Ben Arous,1998 ,""6,3 """
"Nabeul,1998 ,""19,58 """
"Bizerte,1998 ,""61,22 """
"Béja,1998 ,""89,2 """
"Jendouba,1998 ,""63,56 """
"Kef,1998 ,""121,58 """
"Siliana,1998 ,""98,63 """
"Zaghouan,1998 ,""41,15 """
"Sousse,1998 ,""36,34 """
"Monastir,1998 ,""2,15 """
"Mahdia,1998 ,""23,6 """
"Sfax,1998 ,""2,22 """
"Kairouan,1998 ,""89,27 """
"Kasserine,1998 ,""76,4 """
"Sidi Bouzid,1998 ,""32,5 """
"Gafsa,1998 ,""21,87 """
"Gabès,1998 ,""0,28 """
"Medenine,1998 ,""0,71 """
"Tozeur,1998 ,""0,35 """
Kébili,1998 ,
"Tataouine,1998 ,""0,05 """
"Tunis,1999 ,""0,95 """
"Ariana,1999 ,""31,46 """
Manouba,1999 ,
"Ben Arous,1999 ,""6,48 """
Nabeul,1999 ,19 
"Bizerte,1999 ,""73,56 """
"Béja,1999 ,""91,68 """
"Jendouba,1999 ,""62,44 """
"Kef,1999 ,""122,09 """
"Siliana,1999 ,""96,3 """
"Zaghouan,1999 ,""44,65 """
Sousse,1999 ,21 
"Monastir,1999 ,""1,75 """
"Mahdia,1999 ,""15,51 """
"Sfax,1999 ,""14,03 """
"Kairouan,1999 ,""79,52 """
"Kasserine,1999 ,""98,28 """
"Sidi Bouzid,1999 ,""29,97 """
"Gafsa,1999 ,""21,04 """
Gabès,1999 ,11 
"Medenine,1999 ,""6,35 """
"Tozeur,1999 ,""0,13 """
"Kébili,1999 ,""2,6 """
"Tataouine,1999 ,""1,02 """
"Tunis,2000 ,""1,05 """
"Ariana,2000 ,""28,83 """
Manouba,2000 ,
"Ben Arous,2000 ,""6,58 """
"Nabeul,2000 ,""18,1 """
"Bizerte,2000 ,""65,57 """
"Béja,2000 ,""91,73 """
"Jendouba,2000 ,""61,12 """
"Kef,2000 ,""122,8 """
"Siliana,2000 ,""87,15 """
"Zaghouan,2000 ,""36,1 """
"Sousse,2000 ,""35,2 """
"Monastir,2000 ,""2,86 """
Mahdia,2000 ,28 
Sfax,2000 ,18 
"Kairouan,2000 ,""86,49 """
"Kasserine,2000 ,""76,45 """
"Sidi Bouzid,2000 ,""55,2 """
"Gafsa,2000 ,""21,03 """
"Gabès,2000 ,""13,1 """
"Medenine,2000 ,""1,41 """
Tozeur,2000 , 
"Kébili,2000 ,""0,7 """
"Tataouine,2000 ,""0,04 """
"Tunis,2001 ,""1,02 """
"Ariana,2001 ,""3,55 """
"Manouba,2001 ,""23,45 """
"Ben Arous,2001 ,""4,4 """
"Nabeul,2001 ,""18,1 """
"Bizerte,2001 ,""60,8 """
"Béja,2001 ,""92,5 """
"Jendouba,2001 ,""60,55 """
"Kef,2001 ,""112,78 """
"Siliana,2001 ,""85,56 """
"Zaghouan,2001 ,""37,14 """
"Sousse,2001 ,""4,41 """
"Monastir,2001 ,""0,18 """
"Mahdia,2001 ,""2,5 """
"Sfax,2001 ,""0,63 """
"Kairouan,2001 ,""63,5 """
Kasserine,2001 ,99 
"Sidi Bouzid,2001 ,""15,1 """
"Gafsa,2001 ,""9,821 """
"Gabès,2001 ,""5,9 """
"Medenine,2001 ,""1,64 """
Tozeur,2001 , 
Kébili,2001 ,
"Tataouine,2001 ,""2,5 """
"Tunis,2002 ,""0,96 """
"Ariana,2002 ,""4,08 """
"Manouba,2002 ,""21,21 """
"Ben Arous,2002 ,""3,63 """
Nabeul,2002 ,17 
"Bizerte,2002 ,""74,88 """
"Béja,2002 ,""88,71 """
"Jendouba,2002 ,""55,23 """
"Kef,2002 ,""110,01 """
"Siliana,2002 ,""78,18 """
"Zaghouan,2002 ,""34,23 """
"Sousse,2002 ,""14,65 """
"Monastir,2002 ,""1,21 """
"Mahdia,2002 ,""13,74 """
"Sfax,2002 ,""2,57 """
"Kairouan,2002 ,""34,16 """
"Kasserine,2002 ,""62,13 """
"Sidi Bouzid,2002 ,""14,52 """
"Gafsa,2002 ,""5,85 """
Gabès,2002 , 
"Medenine,2002 ,""2,12 """
Tozeur,2002 , 
Kébili,2002 ,
Tataouine,2002 , 
Tunis,2003 ,1 
"Ariana,2003 ,""3,95 """
"Manouba,2003 ,""26,25 """
Ben Arous,2003 ,5 
"Nabeul,2003 ,""17,45 """
"Bizerte,2003 ,""64,18 """
"Béja,2003 ,""95,4 """
"Jendouba,2003 ,""59,33 """
"Kef,2003 ,""104,91 """
"Siliana,2003 ,""99,99 """
"Zaghouan,2003 ,""34,12 """
"Sousse,2003 ,""21,09 """
"Monastir,2003 ,""2,14 """
"Mahdia,2003 ,""10,8 """
"Sfax,2003 ,""8,69 """
"Kairouan,2003 ,""64,68 """
"Kasserine,2003 ,""79,45 """
"Sidi Bouzid,2003 ,""63,2 """
"Gafsa,2003 ,""23,13 """
"Gabès,2003 ,""0,5 """
"Medenine,2003 ,""2,4 """
"Tozeur,2003 ,""0,19 """
"Kébili,2003 ,""0,3 """
"Tataouine,2003 ,""5,7 """
"Tunis,2004 ,""0,73 """
"Ariana,2004 ,""4,95 """
"Manouba,2004 ,""23,4 """
"Ben Arous,2004 ,""4,69 """
"Nabeul,2004 ,""17,6 """
"Bizerte,2004 ,""69,12 """
"Béja,2004 ,""92,4 """
"Jendouba,2004 ,""60,7 """
"Kef,2004 ,""107,53 """
"Siliana,2004 ,""85,5 """
"Zaghouan,2004 ,""34,56 """
"Sousse,2004 ,""39,49 """
"Monastir,2004 ,""1,73 """
"Mahdia,2004 ,""18,5 """
Sfax,2004 ,9 
"Kairouan,2004 ,""75,7 """
"Kasserine,2004 ,""97,95 """
"Sidi Bouzid,2004 ,""59,6 """
"Gafsa,2004 ,""52,2 """
Gabès,2004 ,8 
"Medenine,2004 ,""2,4 """
"Tozeur,2004 ,""0,7 """
Kébili,2004 ,12 
"Tataouine,2004 ,""2,58 """
"Tunis,2005 ,""0,67 """
"Ariana,2005 ,""4,1 """
"Manouba,2005 ,""17,29 """
"Ben Arous,2005 ,""4,55 """
"Nabeul,2005 ,""17,8 """
"Bizerte,2005 ,""70,5 """
"Béja,2005 ,""94,73 """
Jendouba,2005 ,61 
"Kef,2005 ,""110,5 """
"Siliana,2005 ,""89,45 """
"Zaghouan,2005 ,""33,31 """
"Sousse,2005 ,""27,31 """
"Monastir,2005 ,""1,53 """
"Mahdia,2005 ,""18,8 """
"Sfax,2005 ,""4,82 """
"Kairouan,2005 ,""73,64 """
"Kasserine,2005 ,""89,7 """
"Sidi Bouzid,2005 ,""52,18 """
"Gafsa,2005 ,""30,57 """
"Gabès,2005 ,""9,5 """
"Medenine,2005 ,""0,48 """
"Tozeur,2005 ,""0,65 """
Kébili,2005 ,
Tataouine,2005 , 
"Tunis,2006 ,""0,63 """
