date,type,qte,pgmin,pgmax,pdmin,pdmax
2022-07-08,escaloppe,,,,12145,16990
2022-07-08,agneau,,,,27500,30000
2022-07-08,ovin reforme,,,,17000,20000
2022-07-07,bœuf sans os,,,,27500,29000
2022-07-07,bœuf avec os,,,,17000,22000
2022-07-07,poulet (pac),,,,7130,7130
2022-07-07,escaloppe,,,,12145,16990
2022-07-07,agneau,,,,27500,30000
2022-07-07,ovin reforme,,,,17000,20000
2022-07-06,bœuf sans os,,,,27500,29000
2022-07-06,bœuf avec os,,,,17000,22000
2022-07-06,poulet (pac),,,,7130,7130
2022-07-06,escaloppe,,,,12145,16990
2022-07-06,agneau,,,,27500,30000
2022-07-06,ovin reforme,,,,17000,20000
2022-07-05,bœuf sans os,,,,27500,29000
2022-07-05,bœuf avec os,,,,17000,22000
2022-07-05,poulet (pac),,,,7130,7130
2022-07-05,escaloppe,,,,12145,16990
2022-07-05,agneau,,,,27500,30000
2022-07-05,ovin reforme,,,,18000,20000
2022-07-04,bœuf sans os,,,,27500,29000
2022-07-04,bœuf avec os,,,,17000,22000
2022-07-04,poulet (pac),,,,7130,7130
2022-07-04,escaloppe,,,,12145,16990
2022-07-04,agneau,,,,27500,30000
2022-07-04,ovin reforme,,,,18000,20000
2022-07-01,bœuf sans os,,,,27500,29000
2022-07-01,bœuf avec os,,,,17000,22000
2022-07-01,poulet (pac),,,,7180,7475
2022-07-01,escaloppe,,,,12250,16990
2022-07-01,agneau,,,,27500,30000
2022-07-01,ovin reforme,,,,18000,20000
2022-06-30,bœuf sans os,,,,27500,29000
2022-06-30,bœuf avec os,,,,17000,22000
2022-06-30,poulet (pac),,,,7180,7475
2022-06-30,escaloppe,,,,12250,16990
2022-06-30,agneau,,,,27500,30000
2022-06-30,ovin reforme,,,,18000,20000
2022-06-29,bœuf sans os,,,,27500,29000
2022-06-29,bœuf avec os,,,,17000,22000
2022-06-29,poulet (pac),,,,7245,7425
2022-06-29,escaloppe,,,,12245,13110
2022-06-29,agneau,,,,27500,30000
2022-06-29,ovin reforme,,,,18000,18000
2022-06-28,bœuf sans os,,,,27000,29000
2022-06-28,bœuf avec os,,,,18000,23000
2022-06-28,poulet (pac),,,,7245,7820
2022-06-28,escaloppe,,,,12425,13110
2022-06-28,agneau,,,,27500,30000
2022-06-28,ovin reforme,,,,18000,20000
2022-06-27,bœuf sans os,,,,27000,30000
2022-06-27,bœuf avec os,,,,18000,23000
2022-06-27,poulet (pac),,,,7245,7820
2022-06-27,escaloppe,,,,12425,13110
2022-06-27,agneau,,,,27500,31000
2022-06-27,ovin reforme,,,,17000,20000
2022-06-24,bœuf sans os,,,,27000,30000
2022-06-24,bœuf avec os,,,,18000,23000
2022-06-24,poulet (pac),,,,7245,7820
2022-06-24,escaloppe,,,,12425,13110
2022-06-24,agneau,,,,27500,31000
2022-06-24,ovin reforme,,,,17000,20000
2022-06-23,bœuf sans os,,,,27000,30000
2022-06-23,bœuf avec os,,,,18000,23000
2022-06-23,poulet (pac),,,,7245,7820
2022-06-23,escaloppe,,,,12425,13110
2022-06-23,agneau,,,,27500,31000
2022-06-23,ovin reforme,,,,17000,20000
2022-06-22,bœuf sans os,,,,27000,30000
2022-06-22,bœuf avec os,,,,18000,23000
2022-06-22,poulet (pac),,,,7245,7820
2022-06-22,escaloppe,,,,12425,13110
2022-06-22,agneau,,,,27500,31000
2022-06-22,ovin reforme,,,,18000,20000
2022-06-21,bœuf sans os,,,,27000,30000
2022-06-21,bœuf avec os,,,,18000,23000
2022-06-21,poulet (pac),,,,7245,7820
2022-06-21,escaloppe,,,,12425,13110
2022-06-21,agneau,,,,27500,30000
2022-06-21,ovin reforme,,,,18000,20000
2022-06-20,bœuf sans os,,,,27000,31000
2022-06-20,bœuf avec os,,,,17000,23000
2022-06-20,poulet (pac),,,,7245,7880
2022-06-20,escaloppe,,,,12425,13110
2022-06-20,agneau,,,,27500,31000
2022-06-20,ovin reforme,,,,18000,20000
2022-06-17,bœuf sans os,,,,27000,31000
2022-06-17,bœuf avec os,,,,17000,23000
2022-06-17,poulet (pac),,,,7245,7880
2022-06-17,escaloppe,,,,12425,13110
2022-06-17,agneau,,,,27500,31000
2022-06-17,ovin reforme,,,,18000,20000
2022-06-16,bœuf sans os,,,,27000,31000
2022-06-16,bœuf avec os,,,,17000,23000
2022-06-16,poulet (pac),,,,7245,7245
2022-06-16,escaloppe,,,,12425,13110
2022-06-16,agneau,,,,27000,31000
2022-06-16,ovin reforme,,,,18000,20000
2022-06-09,bœuf sans os,,,,28000,31000
2022-06-09,bœuf avec os,,,,19000,23000
2022-06-09,poulet (pac),,,,7245,7245
2022-06-09,escaloppe,,,,12880,13110
2022-06-09,agneau,,,,29000,32000
2022-06-09,ovin reforme,,,,18000,21000
2022-06-08,bœuf sans os,,,,28000,31000
2022-06-08,bœuf avec os,,,,19000,23000
2022-06-08,poulet (pac),,,,6550,6670
2022-06-08,escaloppe,,,,12350,12880
2022-06-08,agneau,,,,29000,32000
2022-06-08,ovin reforme,,,,18000,21000
2022-06-07,bœuf sans os,,,,28000,31000
2022-06-07,bœuf avec os,,,,19000,23000
2022-06-07,poulet (pac),,,,6550,6670
2022-06-07,escaloppe,,,,12350,12880
2022-06-07,agneau,,,,29000,32000
2022-06-07,ovin reforme,,,,18000,21000
2022-06-06,bœuf sans os,,,,28000,31000
2022-06-06,bœuf avec os,,,,19000,24000
2022-06-06,poulet (pac),,,,6550,6670
2022-06-06,escaloppe,,,,12350,12880
2022-06-06,agneau,,,,29000,32000
2022-06-06,ovin reforme,,,,18000,21000
2022-06-03,bœuf sans os,,,,28000,31000
2022-06-03,bœuf avec os,,,,19000,24000
2022-06-03,poulet (pac),,,,6300,6670
2022-06-03,escaloppe,,,,12550,12880
2022-06-03,agneau,,,,29000,32000
2022-06-03,ovin reforme,,,,18000,22000
2022-06-02,bœuf sans os,,,,28000,31000
2022-06-02,bœuf avec os,,,,19000,24000
2022-06-02,poulet (pac),,,,6300,6670
2022-06-02,escaloppe,,,,12550,12880
2022-06-02,agneau,,,,29000,32000
2022-06-02,ovin reforme,,,,18000,22000
2022-06-01,bœuf sans os,,,,28000,31000
2022-06-01,bœuf avec os,,,,19000,24000
2022-06-01,poulet (pac),,,,6300,6670
2022-06-01,escaloppe,,,,12550,12880
2022-06-01,agneau,,,,29000,32000
2022-06-01,ovin reforme,,,,18000,22000
2022-05-31,bœuf sans os,,,,30000,32000
2022-05-31,bœuf avec os,,,,19000,25000
2022-05-31,poulet (pac),,,,6410,6410
2022-05-31,escaloppe,,,,12660,13660
2022-05-31,agneau,,,,29000,32000
2022-05-31,ovin reforme,,,,18000,21000
2022-05-28,bœuf sans os,,,,30000,32000
2022-05-28,bœuf avec os,,,,19000,25000
2022-05-28,poulet (pac),,,,6410,6410
2022-05-28,escaloppe,,,,12660,13660
2022-05-28,agneau,,,,29000,32000
2022-05-28,ovin reforme,,,,18000,21000
2022-05-27,bœuf sans os,,,,30000,32000
2022-05-27,bœuf avec os,,,,19000,25000
2022-05-27,poulet (pac),,,,6210,6410
2022-05-27,escaloppe,,,,12660,12660
2022-05-27,agneau,,,,29000,32000
2022-05-27,ovin reforme,,,,18000,21000
2022-05-26,bœuf sans os,,,,30000,32000
2022-05-26,bœuf avec os,,,,19000,25000
2022-05-26,poulet (pac),,,,6210,6410
2022-05-26,escaloppe,,,,12660,12660
2022-05-26,agneau,,,,29000,32000
2022-05-26,ovin reforme,,,,18000,21000
2022-05-25,bœuf sans os,,,,30000,32000
2022-05-25,bœuf avec os,,,,19000,25000
2022-05-25,poulet (pac),,,,6325,6425
2022-05-25,escaloppe,,,,12660,12660
2022-05-25,agneau,,,,29000,32000
2022-05-25,ovin reforme,,,,18000,21000
2022-05-24,bœuf sans os,,,,28000,32000
2022-05-24,bœuf avec os,,,,19000,25000
2022-05-24,poulet (pac),,,,6325,6425
2022-05-24,escaloppe,,,,12660,12660
2022-05-24,agneau,,,,29000,32000
2022-05-24,ovin reforme,,,,18000,21000
2022-05-23,bœuf sans os,,,,28000,32000
2022-05-23,bœuf avec os,,,,19000,25000
2022-05-23,poulet (pac),,,,6325,6425
2022-05-23,escaloppe,,,,12660,12660
2022-05-23,agneau,,,,29000,32000
2022-05-23,ovin reforme,,,,18000,21000
2022-05-18,bœuf sans os,,,,28000,32000
2022-05-18,bœuf avec os,,,,18000,25000
2022-05-18,poulet (pac),,,,7880,7880
2022-05-18,escaloppe,,,,13280,13570
2022-05-18,agneau,,,,29000,33000
2022-05-18,ovin reforme,,,,18000,20000
2022-05-17,bœuf sans os,,,,28000,32000
2022-05-17,bœuf avec os,,,,18000,25000
2022-05-17,poulet (pac),,,,7880,7880
2022-05-17,escaloppe,,,,13280,13570
2022-05-17,agneau,,,,29000,33000
2022-05-17,ovin reforme,,,,18000,20000
2022-05-16,bœuf sans os,,,,29000,32000
2022-05-16,bœuf avec os,,,,18000,25000
2022-05-16,poulet (pac),,,,8280,8280
2022-05-16,escaloppe,,,,13280,15290
2022-05-16,agneau,,,,30000,33000
2022-05-16,ovin reforme,,,,18000,22000
2022-05-13,bœuf sans os,,,,29000,32000
2022-05-13,bœuf avec os,,,,18000,25000
2022-05-13,poulet (pac),,,,8280,8280
2022-05-13,escaloppe,,,,13280,15290
2022-05-13,agneau,,,,30000,33000
2022-05-13,ovin reforme,,,,18000,22000
2022-05-12,bœuf sans os,,,,29000,32000
2022-05-12,bœuf avec os,,,,18000,25000
2022-05-12,poulet (pac),,,,8280,8280
2022-05-12,escaloppe,,,,13280,15290
2022-05-12,agneau,,,,30000,33000
2022-05-12,ovin reforme,,,,18000,22000
2022-05-11,bœuf sans os,,,,29000,32000
2022-05-11,bœuf avec os,,,,18000,25000
2022-05-11,poulet (pac),,,,8280,8280
2022-05-11,escaloppe,,,,13280,15290
2022-05-11,agneau,,,,30000,33000
2022-05-11,ovin reforme,,,,18000,22000
2022-04-25,agneau,,,,25000,29000
2022-04-25,escaloppe,,,,11435,14990
2022-04-25,poulet (pac),,,,6425,7425
2022-04-25,bœuf avec os,,,,17000,18000
2022-04-25,bœuf sans os,,,,27500,28000
2022-04-25,ovin reforme,,,,16000,20000
2022-04-22,agneau,,,,25000,29000
2022-04-22,escaloppe,,,,11435,14990
2022-04-22,poulet (pac),,,,6425,7425
2022-04-22,bœuf avec os,,,,17000,18000
