Date,Gouvernorat,Production;
2005,Bizerte,1681.05;
2005,Kef,1886.4;
2005,Béja,2938.06;
2006,Medenine,6.46;
2006,Tunis,11.27;
2006,Kébili,14.2;
2006,Monastir,37.25;
2006,Gabès,60.0;
2006,Gafsa,62.27;
2006,Sfax,70.17;
2006,Ben Arous,79.9;
2006,Ariana,84.4;
2006,Sousse,91.5;
2006,Mahdia,95.17;
2006,Sidi Bouzid,207.82;
2006,Kasserine,304.38;
2006,Nabeul,366.93;
2006,Manouba,427.1;
2006,Kairouan,514.86;
2006,Zaghouan,570.78;
2006,Kef,1068.0;
2006,Jendouba,1077.68;
2006,Siliana,1335.6;
2006,Bizerte,1429.55;
2006,Béja,2351.17;
2007,Medenine,5.5;
2007,Gafsa,13.25;
2007,Tunis,17.6;
2007,Monastir,28.32;
2007,Gabès,50.28;
2007,Sfax,71.9;
2007,Ariana,81.96;
2007,Sidi Bouzid,93.86;
2007,Ben Arous,95.35;
2007,Mahdia,138.22;
2007,Kasserine,202.3;
2007,Sousse,266.05;
2007,Nabeul,354.99;
2007,Manouba,466.8;
2007,Kairouan,679.5;
2007,Zaghouan,770.71;
2007,Jendouba,1124.18;
2007,Bizerte,1560.12;
2007,Siliana,1597.8;
2007,Kef,1751.5;
2007,Béja,2382.39;
2008,Sfax,2.47;
2008,Gafsa,6.68;
2008,Gabès,8.15;
2008,Monastir,10.92;
2008,Tunis,11.52;
2008,Medenine,16.61;
2008,Kasserine,22.31;
2008,Sousse,55.9;
2008,Sidi Bouzid,56.58;
2008,Ariana,59.03;
2008,Mahdia,62.52;
2008,Ben Arous,90.58;
2008,Kef,255.9;
2008,Kairouan,272.0;
2008,Zaghouan,327.63;
2008,Manouba,347.87;
2008,Nabeul,393.89;
2008,Siliana,653.2;
2008,Jendouba,891.41;
2008,Bizerte,1685.42;
2008,Béja,2078.56;
2009,Tozeur,0.3;
2009,Medenine,6.8;
2009,Tunis,13.05;
2009,Monastir,20.82;
2009,Gabès,24.99;
2009,Sfax,70.01;
2009,Ariana,110.73;
2009,Ben Arous,117.9;
2009,Mahdia,146.03;
2009,Sousse,204.67;
2009,Gafsa,233.0;
2009,Sidi Bouzid,334.92;
2009,Nabeul,412.48;
2009,Manouba,497.79;
2009,Zaghouan,517.36;
2009,Kairouan,666.74;
2009,Kasserine,842.66;
2009,Kef,1262.87;
2009,Bizerte,1714.76;
2009,Siliana,1769.36;
2009,Jendouba,1785.71;
2009,Béja,2782.7;
2010,Gabès,0.0;
2010,Medenine,0.0;
2010,Sfax,0.32;
2010,Monastir,1.29;
2010,Tunis,3.6;
2010,Mahdia,5.26;
2010,Sousse,27.08;
2010,Gafsa,35.0;
2010,Ben Arous,62.26;
2010,Kasserine,74.6;
2010,Ariana,88.9;
2010,Zaghouan,108.21;
2010,Sidi Bouzid,185.08;
2010,Kairouan,233.21;
2010,Kef,269.7;
2010,Nabeul,381.0;
2010,Manouba,395.72;
2010,Siliana,497.43;
2010,Jendouba,828.19;
2010,Bizerte,1499.44;
2010,Béja,2011.34;
2011,Tatouine,3.12;
2011,Medenine,8.1;
2011,Gabès,8.19;
2011,Monastir,8.3;
2011,Tunis,9.65;
2011,Sfax,11.18;
2011,Kébili,30.0;
2011,Ariana,112.21;
2011,Mahdia,117.74;
2011,Ben Arous,129.9;
2011,Sousse,166.7;
2011,Gafsa,270.15;
2011,Sidi Bouzid,392.84;
2011,Nabeul,414.0;
2011,Zaghouan,441.95;
2011,Manouba,476.08;
2011,Kairouan,657.3;
2011,Kasserine,842.92;
2011,Kef,1009.8;
2011,Bizerte,1640.06;
2011,Jendouba,1787.29;
2011,Siliana,1929.0;
2011,Béja,2745.9;
2012,Tatouine,1.36;
2012,Gabès,6.05;
2012,Medenine,9.48;
2012,Sfax,10.6;
2012,Tunis,16.0;
2012,Kébili,20.0;
2012,Gafsa,21.0;
2012,Monastir,24.83;
2012,Ariana,99.65;
2012,Ben Arous,126.62;
2012,Mahdia,159.0;
2012,Sidi Bouzid,240.18;
2012,Kasserine,263.59;
2012,Sousse,289.31;
2012,Manouba,453.6;
2012,Nabeul,473.0;
2012,Zaghouan,506.99;
2012,Kairouan,1141.1;
2012,Kef,1223.67;
2012,Jendouba,1528.84;
2012,Siliana,1572.0;
2012,Bizerte,1621.75;
2012,Béja,2586.68;
2013,Monastir,0.0;
2013,Mahdia,0.0;
2013,Gabès,0.0;
2013,Medenine,0.0;
2013,Sfax,0.7;
2013,Sousse,8.18;
2013,Gafsa,10.2;
2013,Tunis,16.55;
2013,Kasserine,24.0;
2013,Ariana,73.12;
2013,Ben Arous,118.9;
2013,Zaghouan,139.59;
2013,Sidi Bouzid,149.6;
2013,Kef,338.01;
2013,Manouba,358.8;
2013,Kairouan,379.11;
2013,Nabeul,452.06;
2013,Siliana,708.7;
2013,Jendouba,1230.05;
2013,Bizerte,1624.82;
2013,Béja,2312.8;
2014,Medenine,0.0;
2014,Gabès,0.11;
2014,Tatouine,0.28;
2014,Sfax,10.32;
2014,Monastir,11.25;
2014,Gafsa,14.54;
2014,Tunis,19.22;
2014,Ariana,101.79;
2014,Ben Arous,120.23;
2014,Kasserine,147.48;
2014,Sidi Bouzid,224.91;
2014,Mahdia,254.02;
2014,Sousse,285.51;
2014,Manouba,358.54;
2014,Zaghouan,469.2;
2014,Nabeul,491.98;
2014,Kairouan,1015.31;
2014,Kef,1197.56;
2014,Siliana,1556.5;
2014,Jendouba,1713.15;
2014,Bizerte,1789.08;
