date,parameter,value,unite
2025-05-17 09:00:00,Température,14.3,°C
2025-05-17 10:00:00,Température,14.7,°C
2025-05-17 11:00:00,Température,15.2,°C
2025-05-17 12:00:00,Température,15.6,°C
2025-05-17 13:00:00,Température,16.3,°C
2025-05-17 14:00:00,Température,17.0,°C
2025-05-17 15:00:00,Température,18.0,°C
2025-05-16 01:00:00,Pression atmosphérique,918.0,mm/j
2025-05-16 02:00:00,Pression atmosphérique,917.9,mm/j
2025-05-16 03:00:00,Pression atmosphérique,918.0,mm/j
2025-05-16 04:00:00,Pression atmosphérique,918.1,mm/j
2025-05-16 05:00:00,Pression atmosphérique,918.4,mm/j
2025-05-16 06:00:00,Pression atmosphérique,919.0,mm/j
2025-05-16 07:00:00,Pression atmosphérique,919.5,mm/j
2025-05-16 08:00:00,Pression atmosphérique,919.7,mm/j
2025-05-16 09:00:00,Pression atmosphérique,920.1,mm/j
2025-05-16 10:00:00,Pression atmosphérique,920.4,mm/j
2025-05-16 11:00:00,Pression atmosphérique,920.8,mm/j
2025-05-16 12:00:00,Pression atmosphérique,921.2,mm/j
2025-05-16 13:00:00,Pression atmosphérique,921.5,mm/j
2025-05-16 14:00:00,Pression atmosphérique,921.6,mm/j
2025-05-16 15:00:00,Pression atmosphérique,920.9,mm/j
2025-05-16 16:00:00,Pression atmosphérique,921.4,mm/j
2025-05-16 17:00:00,Pression atmosphérique,921.7,mm/j
2025-05-16 18:00:00,Pression atmosphérique,921.8,mm/j
2025-05-16 19:00:00,Pression atmosphérique,922.6,mm/j
2025-05-16 20:00:00,Pression atmosphérique,923.2,mm/j
2025-05-16 21:00:00,Pression atmosphérique,923.5,mm/j
2025-05-16 22:00:00,Pression atmosphérique,924.4,mm/j
2025-05-16 23:00:00,Pression atmosphérique,924.5,mm/j
2025-05-17 00:00:00,Pression atmosphérique,924.7,mm/j
2025-05-17 01:00:00,Pression atmosphérique,924.7,mm/j
2025-05-17 02:00:00,Pression atmosphérique,924.1,mm/j
2025-05-17 03:00:00,Pression atmosphérique,923.9,mm/j
2025-05-17 04:00:00,Pression atmosphérique,923.9,mm/j
2025-05-17 05:00:00,Pression atmosphérique,924.0,mm/j
2025-05-17 06:00:00,Pression atmosphérique,924.5,mm/j
2025-05-17 07:00:00,Pression atmosphérique,924.9,mm/j
2025-05-17 08:00:00,Pression atmosphérique,925.0,mm/j
2025-05-17 09:00:00,Pression atmosphérique,925.4,mm/j
2025-05-17 10:00:00,Pression atmosphérique,925.4,mm/j
2025-05-17 11:00:00,Pression atmosphérique,925.5,mm/j
2025-05-17 12:00:00,Pression atmosphérique,925.4,mm/j
2025-05-17 13:00:00,Pression atmosphérique,925.2,mm/j
2025-05-17 14:00:00,Pression atmosphérique,924.9,mm/j
2025-05-17 15:00:00,Pression atmosphérique,924.5,mm/j
2025-05-16 01:00:00,Direction du vent,327.9,Deg
2025-05-16 02:00:00,Direction du vent,311.9,Deg
2025-05-16 03:00:00,Direction du vent,314.4,Deg
2025-05-16 04:00:00,Direction du vent,319.4,Deg
2025-05-16 05:00:00,Direction du vent,302.2,Deg
2025-05-16 06:00:00,Direction du vent,341.3,Deg
2025-05-16 07:00:00,Direction du vent,304.2,Deg
2025-05-16 08:00:00,Direction du vent,9.3,Deg
2025-05-16 09:00:00,Direction du vent,294.8,Deg
2025-05-16 10:00:00,Direction du vent,346.9,Deg
2025-05-16 11:00:00,Direction du vent,2.5,Deg
2025-05-16 12:00:00,Direction du vent,320.0,Deg
2025-05-16 13:00:00,Direction du vent,323.8,Deg
2025-05-16 14:00:00,Direction du vent,284.3,Deg
2025-05-16 15:00:00,Direction du vent,273.7,Deg
2025-05-16 16:00:00,Direction du vent,318.8,Deg
2025-05-16 17:00:00,Direction du vent,329.1,Deg
2025-05-16 18:00:00,Direction du vent,334.8,Deg
2025-05-16 19:00:00,Direction du vent,356.7,Deg
2025-05-16 20:00:00,Direction du vent,321.8,Deg
2025-05-16 21:00:00,Direction du vent,296.2,Deg
2025-05-16 22:00:00,Direction du vent,53.7,Deg
2025-05-16 23:00:00,Direction du vent,346.4,Deg
2025-05-17 00:00:00,Direction du vent,18.5,Deg
2025-05-17 01:00:00,Direction du vent,1.4,Deg
2025-05-17 02:00:00,Direction du vent,0.7,Deg
2025-05-17 03:00:00,Direction du vent,35.5,Deg
2025-05-17 04:00:00,Direction du vent,23.3,Deg
2025-05-17 05:00:00,Direction du vent,316.6,Deg
2025-05-17 06:00:00,Direction du vent,49.7,Deg
2025-05-17 07:00:00,Direction du vent,138.8,Deg
2025-05-17 08:00:00,Direction du vent,218.1,Deg
2025-05-17 09:00:00,Direction du vent,321.7,Deg
2025-05-17 10:00:00,Direction du vent,270.2,Deg
2025-05-17 11:00:00,Direction du vent,287.1,Deg
2025-05-17 12:00:00,Direction du vent,312.1,Deg
2025-05-17 13:00:00,Direction du vent,323.7,Deg
2025-05-17 14:00:00,Direction du vent,352.4,Deg
2025-05-17 15:00:00,Direction du vent,318.2,Deg
2025-05-16 01:00:00,Température,12.5,°C
2025-05-16 02:00:00,Température,12.4,°C
2025-05-16 03:00:00,Température,12.2,°C
2025-05-16 04:00:00,Température,11.8,°C
2025-05-16 05:00:00,Température,11.8,°C
2025-05-16 06:00:00,Température,11.9,°C
2025-05-16 07:00:00,Température,12.4,°C
2025-05-16 08:00:00,Température,13.2,°C
2025-05-16 09:00:00,Température,14.6,°C
2025-05-16 10:00:00,Température,16.0,°C
2025-05-16 11:00:00,Température,16.3,°C
2025-05-16 12:00:00,Température,15.6,°C
2025-05-16 13:00:00,Température,15.6,°C
2025-05-16 14:00:00,Température,15.0,°C
2025-05-16 15:00:00,Température,17.7,°C
2025-05-16 16:00:00,Température,16.2,°C
2025-05-16 17:00:00,Température,16.3,°C
2025-05-16 18:00:00,Température,17.1,°C
2025-05-16 19:00:00,Température,15.7,°C
2025-05-16 20:00:00,Température,14.9,°C
2025-05-16 21:00:00,Température,14.2,°C
2025-05-16 22:00:00,Température,12.6,°C
2025-05-16 23:00:00,Température,12.4,°C
2025-05-17 00:00:00,Température,11.6,°C
2025-05-17 01:00:00,Température,11.2,°C
2025-05-17 02:00:00,Température,10.4,°C
