ANNEE_DOA,DELEGATION,GOUV,INV,PRIMES
2013,الكريب,سليانة,3604000,322921
2013,سيدي بورويس,سليانة,1307000,300187
2013,بئر علي بن خليفة,صفاقس,654276,132100
2013,تا لة,القصرين,1103064,273286
2013,تيبار,باجة,156106,33920
2013,جندوبة الشما لية,جندوبة,3236153,157533
2013,سوق الجديد,سيدي بوزيد,1025635,168147
2013,سبا لة أولاد عسكر,سيدي بوزيد,1120838,244504
2013,منزل شاكر,صفاقس,4084853,487728
2013,العيون,القصرين,801551,157308
2013,قليبية,نابل,1826470,254733
2012,قصور الساف,المهدية,5024000,280120
2014,سيدي عيش,قفصة,2764350,615093
2014,جمال,المنستير,572800,34268
2014,القصر,قفصة,588295,105292
2014,الصمّار,تطاوين,1953233,378989
2014,سوق الجديد,سيدي بوزيد,1099822,241183
2013,المحرس,صفاقس,4475115,258122
2014,فرنانة,جندوبة,1067339,119093
2014,قفصة الجنوبية,قفصة,2469075,641320
2014,زغوان,زغوان,10354629,903430
2014,قرمبا لية,نابل,997577,144795
2014,مارث,قابس,1638223,311834
2013,القيروان الشما لية,القيروان,18462000,1071293
2014,منزل تميم,نابل,537554,42329
2014,العروسة,سليانة,1239000,203230
2014,جومين,بنزرت,5081420,529917
2015,قبلي الشما لية,قبلي,1110314,205300
2016,تاجروين,الكاف,687756,125407
2014,نبر,الكاف,2434424,391846
2014,بلخير,قفصة,526493,80267
2015,حما م الشط,بن عروس,8000,862
2015,القصور,الكاف,1976418,348420
2015,الحنشة,صفاقس,490538,80311
2015,قعفور,سليانة,886000,203916
2015,بني خلاد,نابل,2987309,260523
2015,ساقية سيدي يوسف,الكاف,736034,150509
2015,القصر,قفصة,584956,107720
2015,سليانة الجنوبية,سليانة,583000,81368
2014,منزل بورقيبة,بنزرت,1264439,197582
2015,حلق الوادي,تــونس,1240832,167185
2016,هبيرة,المهدية,6335500,644875
2015,المتلوي,قفصة,256572,50928
2016,قعفور,سليانة,2762000,319122
2015,بلطة بوعوان,جندوبة,3107424,331307
2016,الشراردة,القيروان,1223000,125621
2016,سيدي مخلوف,مدنين,856420,178774
2015,هرقلة,سوسة,697000,46557
2016,صفاقس المدينة,صفاقس,24269462,1133810
2016,جلمة,سيدي بوزيد,2305942,466116
2016,الزريبة,زغوان,1358020,242924
2015,سيدي عمر بوحجلة,القيروان,3593000,435985
2016,الرقاب,سيدي بوزيد,11807024,2209754
2016,واد مليز,جندوبة,407346,88588
2016,القطار,قفصة,349987,70972
2016,سيدي علوان,المهدية,2174000,306947
2016,فوشانة,بن عروس,2044000,96230
2016,الكاف الغربية,الكاف,702206,148115
2016,بوفيشة,سوسة,1279500,135608
2016,تطاوين الشما لية,تطاوين,2963740,655887
2016,قابس الجنوبية,قابس,4340461,643284
2016,سيدي علي نصرالله,القيروان,720000,129200
2016,جومين,بنزرت,1012500,118153
2016,قلعة الأندلس,أريانة,1503350,191958
2016,دار شعبان الفهري,نابل,1253076,123140
2016,بني خيار,نابل,1520970,205662
